Mean_Y_Luminance,Mean_G_RGB,GRGB_Value
9.714021164021164623e+01,8.763624338624339316e+01,1.837658862667481685e+00
9.676124338624339316e+01,8.720965608465608909e+01,1.857039747696104248e+00
9.704298941798941769e+01,8.781746031746031633e+01,1.854660578338749755e+00
9.672089947089946804e+01,8.735383597883597417e+01,1.854545163137280905e+00
9.692791005291005035e+01,8.737632275132274629e+01,1.829036447765676421e+00
9.684126984126983473e+01,8.749867724867725371e+01,1.838120924062750294e+00
9.681481481481480955e+01,8.729563492063492447e+01,1.829470688518292754e+00
9.639219576719577276e+01,8.734920634920635507e+01,1.894849576656956192e+00
9.697023809523810201e+01,8.802976190476189799e+01,1.871145876481434822e+00
9.700000000000000000e+01,8.774867724867725371e+01,1.853128924411386658e+00
9.624206349206349387e+01,8.635052910052910136e+01,1.840226372843678293e+00
9.632870370370370949e+01,8.659126984126983473e+01,1.843000531682987164e+00
9.651190476190475920e+01,8.671362433862434216e+01,1.836037195424413238e+00
9.642394179894179729e+01,8.645899470899470884e+01,1.851653375912090560e+00
9.583134920634920206e+01,8.584788359788359458e+01,1.862673471188052376e+00
9.644708994708994965e+01,8.636441798941798709e+01,1.833900132471386168e+00
9.629497354497354422e+01,8.656679894179893608e+01,1.875644342520246699e+00
9.692857142857143060e+01,8.697552910052910136e+01,1.853138946269209386e+00
9.676521164021164623e+01,8.719113756613757005e+01,1.851290700612314266e+00
9.715873015873016527e+01,8.786507936507936734e+01,1.837139328697009688e+00
9.703108465608465849e+01,8.753306878306878502e+01,1.847099157093977206e+00
9.721891534391534151e+01,8.754695767195767075e+01,1.820434962256288092e+00
9.696173469387754551e+01,8.762946428571429180e+01,1.887952381674557145e+00
9.696619897959183731e+01,8.760395408163265074e+01,1.836143760761573152e+00
9.716071428571429180e+01,8.786479591836734926e+01,1.850152988873132953e+00
9.685841836734694255e+01,8.807015306122448806e+01,1.876811696370877636e+00
9.708227040816326792e+01,8.810586734693877986e+01,1.861109748075094661e+00
9.664987244897959329e+01,8.799872448979591866e+01,1.907135148602267183e+00
9.711096938775510523e+01,8.811415816326530148e+01,1.861574859632564527e+00
9.686989795918367463e+01,8.768112244897959329e+01,1.851620904474438500e+00
9.700127551020408134e+01,8.785522959183673208e+01,1.854269294414907066e+00
9.667857142857143060e+01,8.802678571428570820e+01,1.914972935883081817e+00
9.712563775510204778e+01,8.763137755102040671e+01,1.837155167965152103e+00
9.706696428571429180e+01,8.775063775510204778e+01,1.830976867912082362e+00
9.689668367346938282e+01,8.748022959183673208e+01,1.879169644459364852e+00
9.754166666666667140e+01,8.780621693121693738e+01,1.819251740069832479e+00
9.768253968253968367e+01,8.799074074074074758e+01,1.836761886703956348e+00
9.778439153439153131e+01,8.817989417989417689e+01,1.829759923596599780e+00
9.808862433862434216e+01,8.852050264550264558e+01,1.819448289519884465e+00
9.839880952380951840e+01,8.872420634920635507e+01,1.821546349315414259e+00
9.871296296296296191e+01,8.922883597883597417e+01,1.828928792192097585e+00
9.881812169312169658e+01,8.954431216931216397e+01,1.851771625751200911e+00
9.884589947089946804e+01,8.965873015873016527e+01,1.844169833219279075e+00
9.887962962962963331e+01,8.940873015873016527e+01,1.843034239350403780e+00
9.912293956043956200e+01,8.948626373626373720e+01,1.841424689698059947e+00
9.925549450549451080e+01,8.966140109890109500e+01,1.836930747293863853e+00
9.840934065934065700e+01,8.891346153846153300e+01,1.882970915982910221e+00
9.856318681318681740e+01,8.903708791208791240e+01,1.857903244529541587e+00
9.851030219780220420e+01,8.903434065934065700e+01,1.833631233822219375e+00
9.824931318681318260e+01,8.823008241758242320e+01,1.829294192696320431e+00
9.799244505494505120e+01,8.801442307692308020e+01,1.845521997213178667e+00
9.767857142857143060e+01,8.804532967032966440e+01,1.845753125741162570e+00
